,,HDR_rate,specificity_edits,specificity_integrations
demo,PCR-biotin_1,0.19795613732919967,0.19850316637881404,0.5781354795439303
demo,PCR-biotin_2,0.20002898970865343,0.20096111839231107,0.6063268892794376
demo,PCR-biotin_3,0.2254431699687174,0.22563139219369652,0.6334602988573103
demo,PCR-hybrid_1,0.14270817816177567,0.14285714285714285,0.5103889184869472
demo,PCR-hybrid_2,0.14719742063492064,0.14817126451129697,0.5400363967242948
demo,PCR-hybrid_3,0.18885376419622996,0.18943041691133294,0.5941068139963167
demo,PCR-unmodified_1,0.10060975609756098,0.10083109264238573,0.41208791208791207
demo,PCR-unmodified_2,0.10154089292769657,0.10170162247724575,0.42738359201773835
demo,PCR-unmodified_3,0.10711887172599059,0.10737125546953888,0.41735717400785
demo,no-donor_1,0.0,0.0,0.0
demo,no-donor_2,0.0,0.0,0.0
demo,no-donor_3,0.0,0.0,0.0
demo,ssDNA_1,0.12018212621770437,0.12018212621770437,0.3579312519709871
demo,ssDNA_2,0.11527122641509434,0.11531655524970508,0.3679422835633626
demo,ssDNA_3,0.12800256218639905,0.1280162289130899,0.3840486867392697
demo,unedited_1,0.0,0.0,0.0
demo,unedited_2,0.0,0.0,
demo,unedited_3,0.0,0.0,0.0
